"","year","var","Lower","Mean","Upper"
"1",2000,"e_inc_num",56000,139000,259000
"2",2001,"e_inc_num",57000,159000,312000
"3",2002,"e_inc_num",57000,175000,357000
"4",2003,"e_inc_num",54000,206000,456000
"5",2004,"e_inc_num",54000,221000,501000
"6",2005,"e_inc_num",56000,226000,510000
"7",2006,"e_inc_num",56000,239000,549000
"8",2007,"e_inc_num",60000,235000,525000
"9",2008,"e_inc_num",66000,221000,467000
"10",2009,"e_inc_num",68000,228000,483000
"11",2010,"e_inc_num",72000,220000,449000
"12",2011,"e_inc_num",76000,216000,428000
"13",2012,"e_inc_num",79000,206000,392000
"14",2013,"e_inc_num",82000,198000,366000
"15",2014,"e_inc_num",84000,194000,349000
"16",2015,"e_inc_num",85000,178000,305000
"17",2016,"e_inc_num",86000,167000,274000
"18",2017,"e_inc_num",86000,156000,247000
"19",2018,"e_inc_num",85000,146000,223000
"20",2019,"e_inc_num",83000,136000,202000
"21",2020,"e_inc_num",82000,130000,192000
"22",2021,"e_inc_num",84000,132000,200000
"23",2022,"e_inc_num",80000,128000,196000
